id;title;price;featured;purpose;type;project;address;area;description;latitude;longitude;images;create_by;title_image;bed_room;bath_room
1;compress Borders;536;false;conglomeration Data feed;Investment Account;withdrawal mint green;IB;46368;Rubber;lime;withdrawal Investment Account;TCP invoice;Minnesota GB;quantifying;93132;61896
2;mesh Euro Human;19618;true;Bedfordshire expedite Leone;incubate Granite;Avon;Internal silver e-services;89797;Peru;redefine strategize transform;Parks North Dakota;Tools;lime Tuna bypassing;Refined Cotton Tuna;85021;53949
3;Rustic;6986;true;lime;deposit aggregate bluetooth;Missouri;copy;87444;Chile;success;Mouse Industrial CSS;Synergistic 5th generation reinvent;Unbranded Metal Towels;Cambridgeshire SDD;95755;41044
4;Baby Hawaii;91245;false;networks Norway enterprise;Sleek Wooden Fish superstructure;functionalities capability Massachusetts;digital;86825;Accounts parsing Guyana;Operations hack Forward;Bedfordshire 3rd generation Springs;olive Planner;Meadow;gold Dynamic;51835;8509
5;synthesizing cross-media;87261;true;Integration Awesome;Berkshire;deposit cross-platform;Small Steel;4899;payment;pricing structure;program azure;Berkshire holistic Polarised;Bacon Checking Account;Customer-focused;53115;93856
6;markets Centralized;29013;false;seamless XSS;feed;haptic Avon Frozen;Automotive;56048;Intelligent Intelligent Rubber Shirt New Hampshire;Refined Metal Mouse;Agent Fresh Serbia;world-class Overpass transmitting;THX redundant;override user-centric California;41714;27654
7;Small;22143;false;card Row;Senior Investor;Colombian Peso Unidad de Valor Real Kentucky;functionalities Belize Dollar;23115;24/7;Consultant Personal Loan Account;Steel auxiliary;Sleek Frozen Bike Uganda Bedfordshire;Germany Connecticut SDD;cutting-edge Tasty Frozen Chair;32958;73539
8;integrate;51548;true;Fresh Massachusetts Croatia;Bacon;SSL;Borders;48710;parse extend Kansas;Mountains;paradigm red;payment Chair eyeballs;payment definition;Fantastic Tasty;29576;72563
9;withdrawal Serbia;20110;false;multi-state;Practical;South Carolina open architecture;Rubber Planner;9544;FTP Avon;streamline Som District;backing up;next-generation Keyboard;software bottom-line Regional;Applications United Kingdom dot-com;91878;6134
10;Swiss Franc Personal Loan Account recontextualize;91119;true;moderator access application;Pizza Cambridgeshire;Agent JBOD Utah;Industrial navigate Digitized;6634;index bricks-and-clicks Books;transmitting East Caribbean Dollar Monaco;Accounts;Licensed;Checking Account Vermont Directives;withdrawal;33688;81547
