id;content;type
1;payment Awesome Concrete Keyboard Health;CSS monitor
2;Unbranded Refined Fresh Tuna Gorgeous;invoice program
3;Operations Borders Fresh;cross-platform Ridges
4;Sausages;sky blue indigo optimal
5;calculating Plains Plastic;Tanzanian Shilling Road online
6;system-worthy killer;port
7;e-business Small Plastic Fish;Consultant Data Unbranded
8;Springs Zloty Industrial;Senior Mississippi
9;Handcrafted Cotton Fish;deposit
10;European Unit of Account 9(E.U.A.-9);New Zealand Dollar Concrete
